VarCode;Land;Variable;Einheit;Jahr;Wert;Quelle
AUS_vr311_$05;AUS;Private Consumption;in US-$, real (Base Year=2005);2000;354.8384;OECD/European Commission
AUT_vr311_$05;AUT;Private Consumption;in US-$, real (Base Year=2005);2000;154.9575;OECD/European Commission
BEL_vr311_$05;BEL;Private Consumption;in US-$, real (Base Year=2005);2000;183.8217;OECD/European Commission
BGR_vr311_$05;BGR;Private Consumption;in US-$, real (Base Year=2005);2000;14.601;OECD/European Commission
CAN_vr311_$05;CAN;Private Consumption;in US-$, real (Base Year=2005);2000;535.491;OECD/European Commission
CZE_vr311_$05;CZE;Private Consumption;in US-$, real (Base Year=2005);2000;53.9126;OECD/European Commission
DNK_vr311_$05;DNK;Private Consumption;in US-$, real (Base Year=2005);2000;111.5001;OECD/European Commission
EST_vr311_$05;EST;Private Consumption;in US-$, real (Base Year=2005);2000;5.0984;OECD/European Commission
FIN_vr311_$05;FIN;Private Consumption;in US-$, real (Base Year=2005);2000;85.5836;OECD/European Commission
FRA_vr311_$05;FRA;Private Consumption;in US-$, real (Base Year=2005);2000;1099.1724;OECD/European Commission
DEU_vr311_$05;DEU;Private Consumption;in US-$, real (Base Year=2005);2000;1601.449;OECD/European Commission
GRC_vr311_$05;GRC;Private Consumption;in US-$, real (Base Year=2005);2000;136.0691;OECD/European Commission
HUN_vr311_$05;HUN;Private Consumption;in US-$, real (Base Year=2005);2000;47.5298;OECD/European Commission
IRL_vr311_$05;IRL;Private Consumption;in US-$, real (Base Year=2005);2000;74.262;OECD/European Commission
ITA_vr311_$05;ITA;Private Consumption;in US-$, real (Base Year=2005);2000;1016.1415;OECD/European Commission
JPN_vr311_$05;JPN;Private Consumption;in US-$, real (Base Year=2005);2000;2494.2382;OECD/European Commission
KOR_vr311_$05;KOR;Private Consumption;in US-$, real (Base Year=2005);2000;378.0647;OECD/European Commission
LVA_vr311_$05;LVA;Private Consumption;in US-$, real (Base Year=2005);2000;6.6619;OECD/European Commission
LTU_vr311_$05;LTU;Private Consumption;in US-$, real (Base Year=2005);2000;11.0788;OECD/European Commission
NLD_vr311_$05;NLD;Private Consumption;in US-$, real (Base Year=2005);2000;297.671;OECD/European Commission
NZL_vr311_$05;NZL;Private Consumption;in US-$, real (Base Year=2005);2000;53.949;OECD/European Commission
NOR_vr311_$05;NOR;Private Consumption;in US-$, real (Base Year=2005);2000;108.4124;OECD/European Commission
POL_vr311_$05;POL;Private Consumption;in US-$, real (Base Year=2005);2000;167.1345;OECD/European Commission
PRT_vr311_$05;PRT;Private Consumption;in US-$, real (Base Year=2005);2000;116.2573;OECD/European Commission
ROU_vr311_$05;ROU;Private Consumption;in US-$, real (Base Year=2005);2000;43.0284;OECD/European Commission
SVK_vr311_$05;SVK;Private Consumption;in US-$, real (Base Year=2005);2000;21.792;OECD/European Commission
SVN_vr311_$05;SVN;Private Consumption;in US-$, real (Base Year=2005);2000;16.9729;OECD/European Commission
ESP_vr311_$05;ESP;Private Consumption;in US-$, real (Base Year=2005);2000;550.6867;OECD/European Commission
SWE_vr311_$05;SWE;Private Consumption;in US-$, real (Base Year=2005);2000;160.3463;OECD/European Commission
CHE_vr311_$05;CHE;Private Consumption;in US-$, real (Base Year=2005);2000;216.4259;OECD/European Commission
GBR_vr311_$05;GBR;Private Consumption;in US-$, real (Base Year=2005);2000;1269.8904;OECD/European Commission
USA_vr311_$05;USA;Private Consumption;in US-$, real (Base Year=2005);2000;7548.74;OECD/European Commission
ARG_vr311_$05;ARG;Private Consumption;in US-$, real (Base Year=2005);2000;106.9183;OECD/European Commission
BRA_vr311_$05;BRA;Private Consumption;in US-$, real (Base Year=2005);2000;481.3689;OECD/European Commission
